symbol,yahoo_symbol,asset_name,market,asset_type,country
0001A0,0001A0.KQ,덕양에너젠,KOSDAQ,STOCK,KR
000250,000250.KQ,삼천당제약,KOSDAQ,STOCK,KR
000440,000440.KQ,중앙에너비스,KOSDAQ,STOCK,KR
0004V0,0004V0.KQ,엔비알모션,KOSDAQ,STOCK,KR
0004Y0,0004Y0.KQ,디비금융제14호스팩,KOSDAQ,STOCK,KR
0007C0,0007C0.KQ,아크릴,KOSDAQ,STOCK,KR
0007J0,0007J0.KQ,인벤테라,KOSDAQ,STOCK,KR
0008Z0,0008Z0.KQ,에스엔시스,KOSDAQ,STOCK,KR
0009K0,0009K0.KQ,에임드바이오,KOSDAQ,STOCK,KR
001000,001000.KQ,신라섬유,KOSDAQ,STOCK,KR
0010F0,0010F0.KQ,보원케미칼,KOSDAQ,STOCK,KR
0010V0,0010V0.KQ,제이피아이헬스케어,KOSDAQ,STOCK,KR
0011A0,0011A0.KQ,액스비스,KOSDAQ,STOCK,KR
0011T0,0011T0.KQ,채비,KOSDAQ,STOCK,KR
0013V0,0013V0.KQ,삼진식품,KOSDAQ,STOCK,KR
001540,001540.KQ,안국약품,KOSDAQ,STOCK,KR
0015G0,0015G0.KQ,그린광학,KOSDAQ,STOCK,KR
0015N0,0015N0.KQ,아로마티카,KOSDAQ,STOCK,KR
0015S0,0015S0.KQ,페스카로,KOSDAQ,STOCK,KR
001810,001810.KQ,무림SP,KOSDAQ,STOCK,KR
001840,001840.KQ,이화공영,KOSDAQ,STOCK,KR
002230,002230.KQ,피에스텍,KOSDAQ,STOCK,KR
002290,002290.KQ,삼일기업공사,KOSDAQ,STOCK,KR
002680,002680.KQ,한탑,KOSDAQ,STOCK,KR
002800,002800.KQ,신신제약,KOSDAQ,STOCK,KR
003100,003100.KQ,선광,KOSDAQ,STOCK,KR
003310,003310.KQ,대주산업,KOSDAQ,STOCK,KR
003380,003380.KQ,하림지주,KOSDAQ,STOCK,KR
0037T0,0037T0.KQ,KB제32호스팩,KOSDAQ,STOCK,KR
003800,003800.KQ,에이스침대,KOSDAQ,STOCK,KR
0041B0,0041B0.KQ,교보18호스팩,KOSDAQ,STOCK,KR
0041J0,0041J0.KQ,엘에스스팩1호,KOSDAQ,STOCK,KR
0041L0,0041L0.KQ,하나35호스팩,KOSDAQ,STOCK,KR
0044K0,0044K0.KQ,삼성스팩10호,KOSDAQ,STOCK,KR
004590,004590.KQ,한국가구,KOSDAQ,STOCK,KR
004650,004650.KQ,창해에탄올,KOSDAQ,STOCK,KR
004780,004780.KQ,대륙제관,KOSDAQ,STOCK,KR
005160,005160.KQ,동국산업,KOSDAQ,STOCK,KR
005290,005290.KQ,동진쎄미켐,KOSDAQ,STOCK,KR
0054V0,0054V0.KQ,엔에이치스팩32호,KOSDAQ,STOCK,KR
005670,005670.KQ,푸드웰,KOSDAQ,STOCK,KR
005710,005710.KQ,대원산업,KOSDAQ,STOCK,KR
005860,005860.KQ,한일사료,KOSDAQ,STOCK,KR
005990,005990.KQ,매일홀딩스,KOSDAQ,STOCK,KR
006050,006050.KQ,국영지앤엠,KOSDAQ,STOCK,KR
006140,006140.KQ,피제이전자,KOSDAQ,STOCK,KR
006620,006620.KQ,동구바이오제약,KOSDAQ,STOCK,KR
006730,006730.KQ,서부T&D,KOSDAQ,STOCK,KR
0068Y0,0068Y0.KQ,비엔케이제3호스팩,KOSDAQ,STOCK,KR
006910,006910.KQ,보성파워텍,KOSDAQ,STOCK,KR
006920,006920.KQ,모헨즈,KOSDAQ,STOCK,KR
0071M0,0071M0.KQ,삼성스팩11호,KOSDAQ,STOCK,KR
0072Z0,0072Z0.KQ,KB제33호스팩,KOSDAQ,STOCK,KR
007330,007330.KQ,푸른저축은행,KOSDAQ,STOCK,KR
007370,007370.KQ,진양제약,KOSDAQ,STOCK,KR
007390,007390.KQ,네이처셀,KOSDAQ,STOCK,KR
007530,007530.KQ,와이엠,KOSDAQ,STOCK,KR
007680,007680.KQ,대원,KOSDAQ,STOCK,KR
007720,007720.KQ,소노스퀘어,KOSDAQ,STOCK,KR
007770,007770.KQ,한일화학,KOSDAQ,STOCK,KR
007820,007820.KQ,엠엑스로보틱스,KOSDAQ,STOCK,KR
008290,008290.KQ,원풍물산,KOSDAQ,STOCK,KR
0082N0,0082N0.KQ,카나프테라퓨틱스,KOSDAQ,STOCK,KR
008370,008370.KQ,원풍,KOSDAQ,STOCK,KR
008470,008470.KQ,부스타,KOSDAQ,STOCK,KR
008830,008830.KQ,대동기어,KOSDAQ,STOCK,KR
0088D0,0088D0.KQ,메리츠제1호스팩,KOSDAQ,STOCK,KR
0088M0,0088M0.KQ,메쥬,KOSDAQ,STOCK,KR
0091W0,0091W0.KQ,신영스팩11호,KOSDAQ,STOCK,KR
009300,009300.KQ,삼아제약,KOSDAQ,STOCK,KR
0093G0,0093G0.KQ,미래에셋비전스팩8호,KOSDAQ,STOCK,KR
009520,009520.KQ,포스코엠텍,KOSDAQ,STOCK,KR
009620,009620.KQ,삼보산업,KOSDAQ,STOCK,KR
0096B0,0096B0.KQ,삼성스팩12호,KOSDAQ,STOCK,KR
0096D0,0096D0.KQ,미래에셋비전스팩9호,KOSDAQ,STOCK,KR
009730,009730.KQ,이렘,KOSDAQ,STOCK,KR
009780,009780.KQ,엠에스씨,KOSDAQ,STOCK,KR
0097F0,0097F0.KQ,미래에셋비전스팩10호,KOSDAQ,STOCK,KR
0098T0,0098T0.KQ,교보19호스팩,KOSDAQ,STOCK,KR
0099W0,0099W0.KQ,미래에셋비전스팩11호,KOSDAQ,STOCK,KR
0099X0,0099X0.KQ,IBKS제25호스팩,KOSDAQ,STOCK,KR
010170,010170.KQ,대한광통신,KOSDAQ,STOCK,KR
0101C0,0101C0.KQ,하나36호스팩,KOSDAQ,STOCK,KR
010240,010240.KQ,흥국,KOSDAQ,STOCK,KR
010280,010280.KQ,아이티센엔텍,KOSDAQ,STOCK,KR
010470,010470.KQ,오리콤,KOSDAQ,STOCK,KR
0105P0,0105P0.KQ,유진스팩12호,KOSDAQ,STOCK,KR
011040,011040.KQ,경동제약,KOSDAQ,STOCK,KR
011080,011080.KQ,형지I&C,KOSDAQ,STOCK,KR
011320,011320.KQ,유니크,KOSDAQ,STOCK,KR
011370,011370.KQ,서한,KOSDAQ,STOCK,KR
011560,011560.KQ,세보엠이씨,KOSDAQ,STOCK,KR
0115H0,0115H0.KQ,삼성스팩13호,KOSDAQ,STOCK,KR
012210,012210.KQ,삼미금속,KOSDAQ,STOCK,KR
012340,012340.KQ,뉴인텍,KOSDAQ,STOCK,KR
012620,012620.KQ,원일특강,KOSDAQ,STOCK,KR
012700,012700.KQ,리드코프,KOSDAQ,STOCK,KR
012790,012790.KQ,신일제약,KOSDAQ,STOCK,KR
012860,012860.KQ,모베이스전자,KOSDAQ,STOCK,KR
0129K0,0129K0.KQ,신한제18호스팩,KOSDAQ,STOCK,KR
013030,013030.KQ,하이록코리아,KOSDAQ,STOCK,KR
0130D0,0130D0.KQ,신한제17호스팩,KOSDAQ,STOCK,KR
0130H0,0130H0.KQ,엔에이치스팩33호,KOSDAQ,STOCK,KR
013120,013120.KQ,동원개발,KOSDAQ,STOCK,KR
0131D0,0131D0.KQ,키움히어로제2호스팩,KOSDAQ,STOCK,KR
0132G0,0132G0.KQ,교보20호스팩,KOSDAQ,STOCK,KR
013310,013310.KQ,아진산업,KOSDAQ,STOCK,KR
013720,013720.KQ,THE CUBE&,KOSDAQ,STOCK,KR
013810,013810.KQ,스페코,KOSDAQ,STOCK,KR
013990,013990.KQ,아가방컴퍼니,KOSDAQ,STOCK,KR
014100,014100.KQ,메디앙스,KOSDAQ,STOCK,KR
014190,014190.KQ,원익큐브,KOSDAQ,STOCK,KR
014470,014470.KQ,부방,KOSDAQ,STOCK,KR
014570,014570.KQ,고려제약,KOSDAQ,STOCK,KR
014620,014620.KQ,성광벤드,KOSDAQ,STOCK,KR
014940,014940.KQ,오리엔탈정공,KOSDAQ,STOCK,KR
014950,014950.KQ,삼익제약,KOSDAQ,STOCK,KR
014970,014970.KQ,삼륭물산,KOSDAQ,STOCK,KR
015710,015710.KQ,코콤,KOSDAQ,STOCK,KR
015750,015750.KQ,성우하이텍,KOSDAQ,STOCK,KR
